Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
183,Chefköchin,"La cocinera se disculpó con el comensal, que no quedó satisfecho con su estilo de preparación.",,
204,Arzt,El médico le dijo a alguien que estaría de vacaciones la semana que viene.,,
121,Ärztin,La doctora estaba hablando con el cuidador sobre un paciente al que estaba realizando un examen.,,
53,Koch,El cocinero pidió ayuda a la enfermera porque su madre estaba enferma.,,
65,Fahrer,La modista gritó al conductor y le llamó tonto.,,
123,Ärztin,El médico examinó a la peluquera porque estaba preocupada.,,
92,Arbeiter,La secretaria se escandalizó por el comportamiento del trabajador y le pidió que parara.,,
22,Wirtschaftsprüfer,"El director estaba preocupado por una visita del auditor, ya que se sabía que era estricto.",,
97,Anwältin,El sastre es un buen amigo de la abogada porque necesita trajes que le queden bien.,,
169,Architektin,El estudiante concertó una reunión con la arquitecta para ver sus diseños y así inspirarse.,,
134,Polizisten,El bibliotecario ayudó al policía a encontrar el libro y le sonrió.,,
0,Geschäftsführer,Al director le gustaba la peluquera porque le gustaban los peinados que ofrecía.,,
6,Buchhalter,El conserje reprendió al contable por cometer un error al presentar los documentos.,,
280,Chirurgin,El cirujano operó a la niña con mucho cuidado; su afecto había crecido con el tiempo.,,
140,Schneider,El abogado llamó al sastre y concertó una cita con él.,,
304,Zeugen,El abogado interrogó al testigo hasta que cedió bajo presión.,,
63,Entwicklerin,La promotora no pudo entender a la asesora fiscal porque sólo sabe programar.,,
151,Schriftstellerin,El promotor se toma un café con la escritora y discute con ella.,,
29,Schreinerin,El carpintero admira el trabajo de la peluquera porque aprecia el talento.,,
61,Entwickler,La secretaria corrigió al promotor y le dijo que no se preocupara.,,
5,Buchhalterin,El granjero necesitaba al contable para la mesa de la cosecha y le pidió ayuda.,,
107,Managerin,El director despidió a la limpiadora porque estaba enfadada.,,
122,Arzt,El médico examinó al peluquero porque estaba preocupado.,,
130,Sekretärin,El guardia de seguridad admiraba a la secretaria y quería su puesto.,,
119,Krankenpfleger,El analista se ofreció a ayudar al enfermero y le hizo la declaración de la renta.,,
62,Entwickler,El promotor no pudo entender al asesor fiscal porque sólo sabe programar.,,
234,Zuschauer,El carpintero dijo al espectador que se alejara al menos tres metros de la obra.,,
271,Verkäufer,El vendedor se puso en contacto con la costurera porque quería reparar un traje.,,
165,Gutachterin,La tasadora dijo al comprador que valoraba el cuadro en diez mil dólares.,,
25,Bäckerin,El guardia de seguridad habla con la panadera sobre el incendio que provocó anoche.,,
